Datetime,Happiness,Motivation,Flexibility,Strength,Endurance,Relationships
4/15/2015,7,8,5,4,3,7
4/16/2015,8,9,6,8,6,8
4/17/2015,8,6,3,5,3,8
4/18/2015,7,7,3,3,2,8
4/19/2015,7,8,6,8,8,7
4/20/2015,6,7,6,4,6,8
4/21/2015,9,8,6,8,8,9
4/22/2015,8,6,5,5,6,9
4/23/2015,6,6,2,3,2,8
4/24/2015,6,7,4,6,5,5
4/25/2015,8,7,6,6,9,9
4/26/2015,8,7,4,4,6,8
4/27/2015,7,7,8,8,8,8
4/28/2015,7,6,4,5,5,8
4/29/2015,7,8,8,8,8,9
4/30/2015,8,7,6,6,6,8
5/1/2015,7,6,5,5,5,7
5/2/2015,7,7,3,4,5,7
5/3/2015,8,8,5,7,8,8
5/4/2015,6,7,4,5,5,8
5/5/2015,6,8,7,9,9,6
5/6/2015,8,8,7,8,9,8
5/7/2015,7,6,4,3,5,7
5/8/2015,7,6,4,4,6,7
5/9/2015,8,5,5,3,5,8
5/10/2015,8,8,3,5,8,9
5/11/2015,8,6,3,4,3,7
5/12/2015,7,5,5,5,5,7
5/13/2015,6,6,3,4,4,7
5/14/2015,9,9,6,6,6,8
5/15/2015,6,7,4,6,4,7
5/16/2015,7,9,5,7,5,8
5/17/2015,7,7,4,4,7,8
5/18/2015,8,9,9,9,9,9
5/19/2015,2,2,5,6,7,5
5/20/2015,5,5,5,5,5,5
5/21/2015,5,5,5,5,5,3
5/22/2015,5,5,5,5,5,3
5/23/2015,5,5,5,5,5,5
5/24/2015,5,5,5,5,5,6
5/25/2015,9,9,6,6,6,8
5/26/2015,8,7,5,5,4,7
5/27/2015,8,8,4,5,4,8
5/28/2015,7,8,5,8,7,7
5/29/2015,7,7,4,5,4,7
5/30/2015,5,9,9,8,8,3
5/31/2015,8,9,7,6,8,8
6/1/2015,8,9,9,9,9,9
6/2/2015,8,8,5,5,5,8
6/3/2015,9,9,9,9,10,9
6/4/2015,8,8,7,8,7,8
6/5/2015,9,8,5,5,5,9
6/6/2015,8,6,4,4,4,8
6/7/2015,9,8,6,4,8,9
6/8/2015,8,9,3,2,3,9
6/9/2015,7,8,3,3,6,8
6/10/2015,9,9,9,9,9,9
6/11/2015,9,9,7,7,7,9
6/12/2015,9,9,9,9,9,9
6/13/2015,8,6,7,5,7,7
6/14/2015,8,5,3,3,3,7
6/15/2015,9,8,9,9,9,8
6/16/2015,5,8,3,5,3,8
6/17/2015,6,6,3,3,3,8
6/18/2015,8,8,2,2,2,8
6/19/2015,8,8,8,8,8,8
6/20/2015,7,9,5,5,5,9
6/21/2015,8,8,4,4,4,8
6/22/2015,7,8,4,6,6,7
6/23/2015,8,7,5,5,5,7
6/24/2015,6,6,2,2,2,6
6/25/2015,6,6,2,3,2,7
6/26/2015,8,9,8,6,9,8
6/27/2015,7,7,6,8,9,8
6/28/2015,8,6,6,4,7,6
6/29/2015,5,6,4,3,4,6
6/30/2015,4,6,7,5,5,3
7/1/2015,5,5,5,5,5,5
